Grade,Surface,Defect Type,Defect,Min Width,Max Width,Min Length,Max Length,Min Contrast,Min Area Pixel,uid
CPO,B,deep scratch,nick,0.0375,,2,,22,600,bbf58aa4-8b6a-410c-86d2-f6bed83156c8
CPO,B,deep scratch,scratch,0.0375,,2,,28,600,37bdc027-f592-4770-a1b4-ea1a4480b158
CPO,B,discoloration,discoloration,,,,,,,70cbe24f-8ca1-4ac6-9933-1f30691553d5
CPO,C,major,dent,,1,,20,,,66bf0280-443d-4727-abbd-003fc22815fd
CPO,C,major,nick,,1,,20,,,ff08954f-4af9-4029-87f4-e8890dd65627
CPO,C,major,pindot,,,,,,,f55c24a2-c1a4-429e-bf8a-845c41a96a13
CPO,C,major,scratch,,1,,20,,,1c90e075-7e90-4814-8566-5d43a44ed909
CPO,C,minor,dent,,0.8,,20,,,cdb55d7c-b580-4fb8-ac4f-ed3d8d272279
CPO,C,minor,nick,,0.8,,20,,,05da5f2e-88de-45ec-8e14-87949e09d95a
CPO,C,minor,scratch,,0.8,,20,,,dd747391-d7f2-4bfc-ba8c-709958f8b8b0
CPO,C,damaged,crack,,,,,,,603b5c51-0f63-4ba4-b05a-9d4f4f73bcbe
CPO,C,damaged,missingpart,,,,,,,e0aae3c5-eef9-401d-be8f-56f2be9a9a7b
CPO,C,discoloration,discoloration,,,,,,,2d0d08ea-34da-4b3a-82ee-60c6ddf6cfdb
CPO,D,major,dent,,1,,20,,,1a0b5331-cfca-4404-9555-55ef34734096
CPO,D,major,nick,,1,,20,,,433b50af-9588-4238-868e-b73dc817e8d7
CPO,D,major,pindot,,,,,,,47f96afe-963a-4143-929e-22832a3f8ed9
CPO,D,major,scratch,,1,,20,,,1f613346-47e3-425d-8f59-498f80ff0415
CPO,D,minor,dent,,0.8,,20,,,4ee2ab6d-e96f-4a4a-9439-70b187fae8f6
CPO,D,minor,nick,,0.8,,20,,,cca92f69-0f0c-4108-9b63-91b63ae48c4a
CPO,D,minor,scratch,,0.8,,20,,,66a7e0a7-6a5d-4961-a713-ad52ee100c63
CPO,D,damaged,crack,,,,,,,9a085b09-0b0c-47de-b07b-a60b6b8d2eb4
